x,y,xG,result,team,minute,player
0.89,0.54,0.08540564030408859,BlockedShot,Barcelona,3,Fermín López
0.7659999847412109,0.495,0.02894425392150879,SavedShot,Barcelona,6,Fermín López
0.8809999847412109,0.5970000076293945,0.33185625076293945,SavedShot,Barcelona,7,Robert Lewandowski
0.8640000152587891,0.605,0.07533987611532211,MissedShots,Barcelona,12,Lamine Yamal
0.950999984741211,0.3559999847412109,0.10740168392658234,SavedShot,Barcelona,14,Lamine Yamal
0.955,0.5770000076293945,0.05148281902074814,SavedShot,Barcelona,21,Ronald Araújo
0.8980000305175782,0.5570000076293945,0.11589261144399643,BlockedShot,Barcelona,23,Robert Lewandowski
0.8480000305175781,0.2560000038146973,0.027312960475683212,BlockedShot,Barcelona,29,Lamine Yamal
0.7609999847412109,0.4759999847412109,0.03909265249967575,MissedShots,Barcelona,32,Fermín López
0.889000015258789,0.33099998474121095,0.07292704284191132,BlockedShot,Barcelona,40,Lamine Yamal
0.8390000152587891,0.3579999923706055,0.06532895565032959,MissedShots,Barcelona,46,Lamine Yamal
0.8109999847412109,0.48900001525878906,0.1042395532131195,MissedShots,Barcelona,49,Fermín López
0.774000015258789,0.47900001525878905,0.029853692278265953,ShotOnPost,Barcelona,59,Eric Garcia
0.97,0.5270000076293946,0.6503589749336243,Goal,Barcelona,60,Robert Lewandowski
0.774000015258789,0.48900001525878906,0.04603105038404465,SavedShot,Barcelona,65,Robert Lewandowski
0.9,0.6029999923706054,0.4199003279209137,Goal,Barcelona,76,Robert Lewandowski
0.855,0.545,0.11232093721628189,Goal,Barcelona,85,Ferrán Torres
0.8119999694824219,0.37799999237060544,0.10018476098775864,ShotOnPost,Barcelona,89,Lamine Yamal
0.865999984741211,0.4490000152587891,0.10230077803134918,SavedShot,Barcelona,92,Álex Balde
0.94,0.54,0.06883193552494049,MissedShots,Barcelona,93,Robert Lewandowski
0.8859999847412109,0.385,0.11832139641046524,BlockedShot,Barcelona,94,Lamine Yamal
0.87,0.4209999847412109,0.04510326310992241,MissedShots,Girona,5,Viktor Tsygankov
0.05,0.5320000076293945,0,OwnGoal,Girona,42,Ladislav Krejcí
0.865,0.4420000076293945,0.05140260234475136,BlockedShot,Girona,44,Yangel Herrera
0.85,0.6190000152587891,0.33024656772613525,Goal,Girona,52,Arnaut Danjuma Groeneveld
0.9230000305175782,0.415,0.06409496814012527,SavedShot,Girona,64,Ladislav Krejcí
